,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
Country/Territory,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Aruba,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.17,0.39,1.00,85.22,71.43,92.61,1.27,0.34,1.00,88.29,72.68,93.17,1.25,0.42,1.00,88.29,72.20,94.63,1.26,0.42,1.00,88.35,72.82,93.69,1.28,0.40,1.00,87.38,73.30,94.66,1.11,0.29,2.00,83.25,72.73,91.39,1.12,0.29,2.00,83.33,72.38,91.90,1.10,0.30,2.00,82.94,72.51,91.94,1.10,0.31,2.00,82.46,72.51,91.47,1.12,0.31,2.00,82.46,71.56,91.47,1.01,0.31,2.00,81.73,69.23,91.35,1.25,0.29,2.00,88.10,76.19,92.38,1.23,0.31,2.00,88.57,75.24,92.38,1.24,0.28,2.00,87.62,78.10,91.90,1.21,0.28,2.00,87.14,77.14,91.90,1.17,0.28,2.00,83.81,75.24,91.43,1.20,0.26,2.00,85.24,77.14,93.33,0.80,0.31,2.00,78.57,62.86,89.05,0.76,0.32,2.00,77.83,60.85,88.68
Andorra,ADO,1.32,0.48,1.00,87.10,72.04,96.77,1.33,0.45,1.00,89.30,72.19,96.79,1.31,0.46,1.00,88.30,70.21,95.21,1.31,0.43,1.00,87.83,73.02,95.24,1.33,0.40,1.00,88.36,74.07,94.71,1.12,0.39,1.00,84.24,70.44,91.63,1.27,0.34,1.00,88.29,72.68,93.17,1.25,0.42,1.00,88.29,72.20,94.63,1.26,0.42,1.00,88.35,72.82,93.69,1.28,0.40,1.00,87.38,73.30,94.66,1.32,0.43,1.00,87.56,72.73,95.22,1.30,0.43,1.00,88.10,71.90,94.76,1.27,0.42,1.00,87.20,71.56,94.79,1.26,0.43,1.00,87.20,71.09,95.26,1.25,0.44,1.00,86.73,69.67,95.73,1.22,0.43,1.00,87.02,69.23,95.19,1.15,0.42,1.00,85.71,65.71,94.29,1.16,0.42,1.00,87.14,65.71,93.81,1.17,0.40,1.00,86.19,67.14,95.24,1.18,0.40,1.00,86.19,68.57,94.76,1.18,0.41,1.00,87.14,66.67,94.76,1.27,0.38,1.00,88.57,73.81,95.24,1.28,0.43,1.00,88.57,70.00,96.67,1.27,0.46,1.00,88.68,68.40,97.17
Afghanistan,AFG,-1.29,0.34,2.00,4.30,0.00,27.42,-1.18,0.32,2.00,8.02,0.00,33.69,-1.27,0.35,2.00,4.79,0.00,30.85,-1.25,0.35,2.00,4.76,0.00,32.80,-1.34,0.27,3.00,4.76,0.00,19.05,-1.35,0.21,5.00,6.40,0.00,15.27,-1.45,0.21,5.00,1.46,0.00,13.17,-1.45,0.21,7.00,1.95,0.00,11.71,-1.61,0.23,6.00,0.97,0.00,6.80,-1.67,0.22,7.00,0.49,0.00,4.37,-1.55,0.20,8.00,0.96,0.00,7.18,-1.65,0.20,9.00,0.95,0.00,3.81,-1.60,0.20,9.00,0.47,0.00,4.27,-1.43,0.19,10.00,1.42,0.00,11.85,-1.45,0.16,11.00,0.95,0.00,9.95,-1.36,0.16,11.00,5.29,0.00,12.50,-1.35,0.16,11.00,5.71,0.48,12.86,-1.54,0.17,10.00,3.81,0.00,10.00,-1.53,0.16,10.00,3.81,0.00,9.52,-1.50,0.15,10.00,4.76,0.00,9.52,-1.42,0.15,10.00,5.71,1.43,11.90,-1.49,0.16,9.00,4.76,0.00,10.48,-1.15,0.18,8.00,12.38,4.76,20.95,-1.18,0.17,8.00,12.26,4.72,20.28
Angola,AGO,-1.17,0.26,4.00,9.68,0.54,27.42,-1.18,0.23,4.00,7.49,0.00,27.27,-1.20,0.25,4.00,8.51,0.00,27.66,-1.16,0.21,4.00,7.94,0.00,25.93,-1.34,0.19,6.00,5.29,0.00,11.64,-1.38,0.18,8.00,5.91,0.00,13.30,-1.32,0.19,8.00,6.34,0.00,16.10,-1.24,0.18,10.00,7.80,0.98,18.05,-1.31,0.20,9.00,5.34,0.00,17.96,-1.31,0.19,10.00,4.37,0.49,15.53,-1.40,0.18,11.00,2.87,0.00,11.96,-1.33,0.16,12.00,3.81,0.95,14.29,-1.37,0.16,12.00,3.32,0.00,12.80,-1.30,0.16,11.00,4.74,0.00,15.17,-1.34,0.16,12.00,4.74,0.00,12.32,-1.46,0.16,10.00,3.85,0.00,9.13,-1.43,0.16,8.00,4.29,0.00,10.95,-1.48,0.17,8.00,4.76,0.00,10.48,-1.44,0.15,8.00,5.71,0.48,11.43,-1.20,0.16,8.00,10.95,5.71,16.67,-1.06,0.16,10.00,13.81,9.52,24.76,-0.94,0.16,9.00,18.57,10.95,27.14,-0.65,0.16,10.00,29.05,19.52,40.48,-0.60,0.16,10.00,30.66,21.23,43.40
Anguilla,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.84,0.39,1.00,78.33,59.61,91.63,1.27,0.34,1.00,88.29,72.68,93.17,1.25,0.42,1.00,88.29,72.20,94.63,1.26,0.42,1.00,88.35,72.82,93.69,1.28,0.40,1.00,87.38,73.30,94.66,1.32,0.43,1.00,87.56,72.73,95.22,1.30,0.43,1.00,88.10,71.90,94.76,1.27,0.42,1.00,87.20,71.56,94.79,1.26,0.43,1.00,87.20,71.09,95.26,1.25,0.44,1.00,86.73,69.67,95.73,1.22,0.43,1.00,87.02,69.23,95.19,1.15,0.42,1.00,85.71,65.71,94.29,1.16,0.42,1.00,87.14,65.71,93.81,1.17,0.40,1.00,86.19,67.14,95.24,1.18,0.40,1.00,86.19,68.57,94.76,1.18,0.41,1.00,87.14,66.67,94.76,0.63,0.38,1.00,73.81,56.67,85.71,0.64,0.43,1.00,73.33,50.95,89.05,1.27,0.46,1.00,88.68,68.40,97.17
Albania,ALB,-0.89,0.32,3.00,19.35,2.69,43.01,-0.99,0.23,4.00,18.18,1.07,34.22,-0.86,0.23,5.00,23.94,5.32,40.96,-0.85,0.22,5.00,24.34,5.82,38.62,-0.85,0.20,6.00,22.75,6.88,38.10,-0.72,0.19,8.00,27.59,15.27,39.41,-0.81,0.16,9.00,22.93,13.66,35.12,-0.79,0.15,11.00,22.93,16.10,36.10,-0.71,0.16,11.00,28.64,18.45,37.86,-0.61,0.14,11.00,33.98,20.39,41.75,-0.55,0.15,11.00,34.93,22.49,48.80,-0.53,0.15,11.00,37.14,23.33,47.62,-0.70,0.14,12.00,24.64,18.96,39.34,-0.78,0.13,13.00,25.12,17.06,34.60,-0.75,0.13,12.00,24.17,16.59,35.55,-0.59,0.13,11.00,34.13,23.56,43.75,-0.54,0.13,11.00,36.19,25.24,45.71,-0.47,0.14,11.00,37.62,27.62,47.62,-0.48,0.13,11.00,40.48,27.14,46.19,-0.55,0.14,11.00,33.33,24.29,43.33,-0.56,0.15,11.00,32.38,24.29,43.33,-0.57,0.15,9.00,31.43,22.86,43.81,-0.58,0.16,9.00,31.90,21.43,45.24,-0.41,0.16,9.00,38.68,26.89,50.00
Netherlands Antilles (former),ANT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.60,0.39,1.00,72.41,54.19,85.71,1.27,0.34,1.00,88.29,72.68,93.17,1.25,0.42,1.00,88.29,72.20,94.63,1.26,0.42,1.00,88.35,72.82,93.69,1.28,0.40,1.00,87.38,73.30,94.66,0.83,0.43,1.00,77.03,61.24,90.91,0.82,0.43,1.00,77.14,61.43,90.95,0.79,0.42,1.00,75.83,59.72,90.05,0.78,0.43,1.00,76.30,59.72,90.52,0.78,0.44,1.00,76.78,59.24,90.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,ARE,-0.01,0.31,3.00,57.53,35.48,72.04,0.03,0.26,3.00,55.61,42.78,67.38,0.10,0.28,3.00,59.57,45.21,70.74,1.11,0.21,4.00,83.07,76.19,89.42,0.83,0.23,4.00,76.19,69.84,84.66,1.04,0.20,5.00,83.74,73.89,90.15,0.99,0.19,5.00,80.49,72.20,88.29,0.89,0.21,5.00,78.05,72.20,84.88,1.01,0.21,5.00,80.10,73.30,90.29,1.07,0.21,5.00,82.04,73.79,91.26,0.91,0.19,7.00,78.47,72.25,84.21,0.89,0.19,7.00,78.57,71.90,83.81,1.07,0.16,9.00,81.04,76.30,88.15,1.16,0.15,8.00,82.94,78.20,88.63,1.27,0.15,8.00,87.20,80.57,90.05,1.20,0.14,8.00,83.17,79.33,89.90,1.03,0.14,8.00,81.43,76.67,88.57,1.13,0.15,8.00,82.86,79.52,90.00,1.10,0.13,8.00,81.90,80.00,88.10,1.12,0.14,8.00,82.86,80.00,88.10,1.07,0.15,8.00,81.90,78.57,88.57,1.08,0.16,7.00,82.38,79.05,88.57,1.15,0.17,8.00,83.33,80.00,89.05,1.16,0.16,8.00,83.49,79.72,89.15
