,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
Country/Territory,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Aruba,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.99,0.43,1.00,80.58,54.85,100.00,1.38,0.37,2.00,96.12,68.93,100.00,1.30,0.36,2.00,96.14,68.12,100.00,1.29,0.33,2.00,96.62,71.01,100.00,1.32,0.33,2.00,96.15,72.12,100.00,1.12,0.31,3.00,88.63,67.77,100.00,1.10,0.30,3.00,88.15,66.35,99.53,1.29,0.29,3.00,93.84,70.62,99.53,1.26,0.27,3.00,93.36,72.99,99.53,1.31,0.28,3.00,94.79,73.46,99.53,1.16,0.24,3.00,92.38,72.38,99.52,1.21,0.24,3.00,92.38,71.90,99.52,1.26,0.24,3.00,93.33,75.71,99.52,1.31,0.25,3.00,95.24,77.62,99.52,1.34,0.25,3.00,95.28,79.25,99.53,1.34,0.27,3.00,95.75,77.36,99.53,1.37,0.27,3.00,96.23,79.72,99.53,1.43,0.27,3.00,97.17,83.49,100.00,1.47,0.27,3.00,97.64,83.96,100.00
Andorra,ADO,1.17,0.61,1.00,89.36,52.13,100.00,1.18,0.58,1.00,90.43,54.79,100.00,1.17,0.60,1.00,86.77,54.50,100.00,1.28,0.52,1.00,92.59,62.43,100.00,1.47,0.35,2.00,98.49,76.88,100.00,1.40,0.36,2.00,98.06,74.27,100.00,1.38,0.38,2.00,99.03,68.45,100.00,1.35,0.38,2.00,98.55,68.12,100.00,1.34,0.35,2.00,98.55,72.46,100.00,1.34,0.35,2.00,98.08,71.63,100.00,1.30,0.34,2.00,94.31,72.04,100.00,1.28,0.35,2.00,93.84,70.14,100.00,1.30,0.36,2.00,95.73,68.72,99.53,1.29,0.32,2.00,94.79,70.14,99.53,1.28,0.35,2.00,93.84,67.77,99.53,1.29,0.29,1.00,96.67,74.29,99.52,1.37,0.28,2.00,97.62,79.05,99.52,1.38,0.29,2.00,97.14,78.57,99.52,1.39,0.31,2.00,97.14,77.62,99.52,1.39,0.29,2.00,97.17,78.77,99.53,1.58,0.28,3.00,98.58,88.68,100.00,1.59,0.28,3.00,99.06,88.68,100.00,1.58,0.28,3.00,98.58,89.62,100.00,1.59,0.28,3.00,98.58,91.04,100.00
Afghanistan,AFG,-2.42,0.47,2.00,2.13,0.00,6.91,-2.43,0.44,2.00,0.53,0.00,7.45,-2.44,0.45,2.00,0.53,0.00,5.82,-2.04,0.44,2.00,1.59,0.00,12.70,-2.20,0.35,2.00,2.01,0.00,6.03,-2.30,0.30,4.00,1.94,0.49,4.37,-2.07,0.30,4.00,2.43,0.49,6.31,-2.22,0.29,4.00,1.45,0.48,7.25,-2.41,0.31,3.00,1.45,0.00,3.86,-2.69,0.31,3.00,0.48,0.00,1.92,-2.71,0.29,4.00,0.47,0.00,1.90,-2.58,0.28,4.00,1.42,0.00,3.32,-2.50,0.27,4.00,1.42,0.00,2.37,-2.42,0.24,5.00,1.90,0.00,3.79,-2.52,0.25,6.00,1.42,0.00,3.32,-2.41,0.21,6.00,2.86,0.00,5.24,-2.56,0.21,6.00,0.95,0.00,2.86,-2.66,0.22,6.00,0.95,0.00,2.86,-2.79,0.23,6.00,0.48,0.00,1.43,-2.75,0.22,6.00,0.47,0.00,2.36,-2.65,0.24,6.00,0.94,0.00,2.83,-2.70,0.24,5.00,0.47,0.00,2.36,-2.52,0.24,5.00,1.42,0.00,4.25,-2.55,0.24,5.00,0.47,0.00,4.25
Angola,AGO,-2.06,0.37,4.00,3.72,0.00,8.51,-2.32,0.35,4.00,1.06,0.00,6.91,-2.04,0.34,4.00,1.59,0.00,8.99,-1.58,0.32,4.00,9.52,1.06,17.46,-1.01,0.29,5.00,19.60,9.05,29.15,-1.06,0.29,6.00,16.50,7.28,26.21,-0.89,0.29,5.00,21.36,11.17,33.98,-0.54,0.27,6.00,28.02,17.39,42.03,-0.67,0.27,5.00,24.15,14.98,37.20,-0.36,0.27,5.00,31.25,18.75,47.12,-0.35,0.25,6.00,32.70,20.85,47.39,-0.23,0.24,7.00,37.91,25.59,51.66,-0.37,0.24,7.00,34.60,20.85,48.82,-0.39,0.23,6.00,35.07,21.80,43.60,-0.39,0.23,7.00,35.07,21.33,45.50,-0.33,0.20,7.00,32.86,23.33,45.71,-0.51,0.21,6.00,28.10,19.52,40.48,-0.32,0.21,6.00,33.33,21.90,48.10,-0.39,0.21,7.00,30.48,19.52,45.24,-0.35,0.21,7.00,34.91,21.23,46.23,-0.37,0.22,7.00,31.60,20.28,46.70,-0.60,0.22,6.00,24.53,15.09,39.15,-0.71,0.22,7.00,21.23,13.21,33.49,-0.65,0.22,7.00,22.64,14.15,36.32
Anguilla,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.79,0.43,1.00,74.27,48.54,98.54,1.19,0.37,2.00,90.29,65.05,100.00,1.10,0.36,2.00,89.37,61.35,100.00,1.09,0.33,2.00,87.44,63.29,100.00,1.11,0.33,2.00,88.94,65.38,100.00,0.87,0.35,2.00,78.67,53.08,98.10,1.37,0.35,2.00,95.73,73.46,100.00,1.55,0.34,2.00,99.53,81.99,100.00,1.48,0.30,2.00,99.53,81.99,100.00,1.53,0.32,2.00,99.53,81.99,100.00,1.16,0.26,2.00,91.90,70.00,99.52,1.22,0.27,2.00,93.33,70.48,99.52,1.28,0.27,2.00,93.81,73.81,99.52,1.36,0.28,2.00,96.19,77.62,99.52,1.25,0.27,2.00,92.92,72.17,99.53,1.32,0.31,2.00,94.81,75.00,99.53,1.50,0.31,2.00,98.58,82.08,100.00,1.53,0.32,2.00,98.11,83.96,100.00,1.13,0.39,1.00,91.04,60.38,100.00
Albania,ALB,-0.34,0.42,3.00,35.64,17.02,57.45,-0.54,0.38,3.00,28.72,13.30,48.40,-0.54,0.40,3.00,29.63,13.23,50.79,-0.30,0.39,3.00,33.86,20.11,57.67,-0.31,0.33,3.00,36.18,22.11,51.26,-0.43,0.32,4.00,30.10,18.93,48.54,-0.51,0.30,5.00,29.61,18.45,45.63,-0.51,0.27,6.00,29.95,17.87,43.00,-0.20,0.26,6.00,37.68,24.64,50.72,-0.03,0.26,6.00,43.27,29.81,57.69,-0.05,0.26,6.00,42.18,28.91,57.35,-0.19,0.26,6.00,38.39,25.59,52.13,-0.28,0.25,7.00,37.44,24.64,50.24,-0.14,0.22,8.00,40.28,29.86,53.55,0.09,0.23,8.00,49.29,36.49,62.56,0.49,0.20,8.00,61.43,52.38,74.29,0.34,0.20,8.00,58.10,46.67,67.14,0.34,0.21,8.00,57.62,47.14,69.05,0.37,0.21,8.00,59.52,46.67,70.48,0.37,0.21,8.00,58.49,48.11,69.34,0.11,0.23,7.00,51.89,37.26,60.85,0.09,0.23,6.00,50.00,35.85,60.85,0.20,0.23,6.00,52.36,41.04,63.68,0.11,0.23,6.00,50.47,36.32,60.85
Netherlands Antilles (former),ANT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.69,0.43,1.00,69.90,43.69,97.57,0.82,0.37,2.00,71.84,54.37,99.03,1.10,0.36,2.00,89.37,61.35,100.00,1.09,0.33,2.00,87.44,63.29,100.00,1.11,0.33,2.00,88.94,65.38,100.00,0.87,0.35,2.00,78.67,53.08,98.10,0.96,0.35,2.00,81.99,57.82,99.05,1.21,0.34,2.00,91.94,68.25,99.53,1.08,0.30,2.00,87.68,63.98,99.53,0.68,0.39,1.00,67.30,46.92,94.79,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,ARE,0.96,0.37,4.00,78.19,57.45,100.00,0.87,0.35,4.00,76.06,56.91,97.34,0.98,0.34,4.00,80.42,62.96,96.30,0.94,0.32,4.00,80.95,62.43,95.24,0.99,0.30,4.00,81.41,63.32,98.49,0.77,0.29,6.00,73.30,54.85,93.69,0.88,0.28,6.00,74.76,58.25,94.66,0.92,0.27,6.00,77.78,59.90,98.55,0.98,0.26,6.00,80.68,63.29,98.55,0.70,0.26,6.00,69.71,53.37,89.90,0.92,0.25,7.00,79.62,63.51,94.79,0.80,0.24,7.00,73.93,59.72,90.52,0.91,0.24,9.00,73.93,63.51,95.73,0.86,0.22,9.00,73.46,62.56,91.94,0.89,0.23,9.00,74.88,64.45,91.94,0.77,0.19,9.00,71.90,60.00,89.05,0.75,0.20,9.00,70.00,60.00,88.10,0.55,0.20,9.00,64.76,53.81,76.19,0.60,0.21,9.00,66.67,55.24,79.05,0.69,0.21,9.00,68.87,57.08,86.79,0.67,0.22,8.00,69.34,58.02,85.38,0.59,0.23,7.00,65.09,53.77,79.72,0.60,0.23,7.00,65.09,52.83,83.49,0.70,0.23,7.00,70.28,55.19,86.32
