,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
Country/Territory,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Aruba,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,0.32,1.00,73.63,61.69,87.06,0.86,0.21,1.00,75.00,64.71,83.82,0.86,0.31,1.00,75.49,61.27,91.18,0.88,0.37,1.00,76.70,59.71,91.26,0.89,0.38,1.00,78.16,58.74,92.72,1.29,0.33,2.00,86.60,73.21,99.52,1.34,0.35,2.00,87.08,75.12,100.00,1.32,0.36,2.00,87.68,75.36,99.53,1.40,0.34,2.00,90.52,76.30,100.00,1.42,0.33,2.00,90.52,76.78,100.00,1.25,0.35,2.00,88.46,72.12,97.12,1.36,0.34,2.00,90.48,76.67,99.05,1.34,0.36,2.00,89.05,75.24,98.10,1.18,0.35,2.00,83.81,71.90,94.76,0.85,0.37,2.00,77.62,62.38,90.48,0.85,0.36,2.00,75.71,61.43,90.95,0.91,0.38,2.00,77.62,61.43,92.86,0.94,0.38,2.00,79.05,62.86,93.33,0.97,0.36,2.00,77.83,63.68,92.92
Andorra,ADO,1.27,0.39,1.00,88.04,69.57,98.91,1.25,0.44,1.00,89.13,66.85,98.91,1.22,0.42,1.00,87.50,67.39,98.91,1.42,0.37,1.00,90.81,72.43,100.00,1.41,0.28,1.00,90.27,77.30,99.46,1.41,0.32,1.00,89.05,77.61,99.50,1.36,0.21,1.00,90.69,78.43,99.02,1.35,0.31,1.00,91.18,73.53,99.51,1.38,0.37,1.00,90.78,73.79,99.51,1.40,0.38,1.00,91.26,73.79,100.00,1.41,0.41,1.00,91.39,73.21,100.00,1.39,0.46,1.00,89.95,70.81,100.00,1.61,0.46,1.00,94.31,75.83,100.00,1.56,0.50,1.00,93.84,73.46,100.00,1.56,0.50,1.00,92.89,72.99,100.00,0.88,0.51,1.00,78.37,53.37,94.23,0.90,0.46,1.00,78.57,57.14,92.86,0.86,0.49,1.00,78.10,55.71,92.38,1.20,0.47,1.00,85.71,68.10,98.10,1.19,0.49,1.00,85.71,64.76,98.10,1.22,0.49,1.00,86.19,65.24,99.52,1.34,0.52,1.00,88.57,68.10,99.52,1.36,0.49,1.00,89.52,71.43,99.52,1.40,0.47,1.00,90.09,72.17,99.53
Afghanistan,AFG,-2.09,0.39,1.00,1.63,0.00,5.98,-2.06,0.44,1.00,2.17,0.00,9.24,-2.08,0.42,1.00,1.63,0.00,7.61,-1.81,0.30,2.00,2.16,0.00,7.57,-1.46,0.24,2.00,4.86,1.62,15.14,-1.51,0.22,4.00,5.97,1.49,12.94,-1.64,0.18,4.00,2.94,1.47,7.35,-1.69,0.22,5.00,2.94,1.47,8.33,-1.71,0.24,4.00,2.91,0.97,7.77,-1.61,0.20,5.00,3.40,2.43,7.77,-1.66,0.19,6.00,3.35,1.91,6.22,-1.52,0.18,6.00,5.74,2.39,9.09,-1.54,0.18,6.00,4.27,2.37,9.00,-1.19,0.18,8.00,10.43,4.74,21.80,-1.19,0.18,9.00,10.43,6.16,21.33,-1.12,0.19,9.00,11.06,5.77,25.48,-1.02,0.19,9.00,13.81,6.67,27.14,-1.34,0.20,9.00,7.14,3.81,12.86,-1.37,0.19,9.00,7.14,3.33,11.90,-1.14,0.20,9.00,10.48,6.19,19.05,-1.11,0.20,9.00,10.48,6.67,20.00,-1.39,0.21,8.00,8.10,3.81,12.38,-1.31,0.23,6.00,8.10,3.81,16.19,-1.27,0.22,6.00,8.96,3.77,18.40
Angola,AGO,-1.42,0.31,4.00,7.61,1.63,20.11,-1.45,0.33,4.00,8.70,2.72,17.93,-1.51,0.33,3.00,7.07,2.17,15.22,-1.29,0.24,4.00,9.19,3.24,18.92,-1.19,0.19,5.00,11.89,4.32,18.92,-1.23,0.20,6.00,9.45,5.47,18.91,-1.24,0.17,7.00,10.29,5.39,18.63,-1.16,0.19,8.00,12.25,5.39,21.08,-1.08,0.20,7.00,16.50,6.80,22.33,-1.10,0.19,7.00,15.05,5.34,21.36,-1.06,0.18,8.00,15.31,6.22,23.92,-1.06,0.17,9.00,14.83,6.70,22.97,-1.11,0.17,9.00,12.32,7.11,22.27,-0.99,0.19,8.00,18.01,9.00,27.96,-1.04,0.19,9.00,15.64,7.11,25.12,-0.86,0.22,8.00,21.63,9.13,32.69,-0.86,0.22,7.00,21.90,9.05,34.29,-0.97,0.23,7.00,15.24,6.67,28.57,-1.05,0.22,7.00,12.38,6.67,27.62,-0.80,0.22,7.00,20.95,9.52,35.24,-0.83,0.21,8.00,18.10,9.52,33.33,-0.86,0.23,7.00,19.05,10.48,36.19,-0.67,0.20,8.00,27.14,12.86,39.52,-0.61,0.21,8.00,29.72,16.51,42.45
Anguilla,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.91,0.32,1.00,78.11,63.68,89.05,1.11,0.21,1.00,82.84,71.08,90.69,1.35,0.31,1.00,91.18,73.53,99.51,1.38,0.37,1.00,90.78,73.79,99.51,1.40,0.38,1.00,91.26,73.79,100.00,1.41,0.41,1.00,91.39,73.21,100.00,1.39,0.46,1.00,89.95,70.81,100.00,1.37,0.46,1.00,90.05,70.14,100.00,1.32,0.50,1.00,88.63,67.77,100.00,1.32,0.50,1.00,89.10,67.30,100.00,0.88,0.51,1.00,78.37,53.37,94.23,0.90,0.46,1.00,78.57,57.14,92.86,0.86,0.49,1.00,78.10,55.71,92.38,0.83,0.47,1.00,78.10,56.19,91.90,0.81,0.49,1.00,77.14,54.76,92.38,0.84,0.49,1.00,75.24,57.62,94.29,0.93,0.52,1.00,79.52,56.19,96.67,0.95,0.49,1.00,80.95,57.62,96.67,0.97,0.47,1.00,80.19,58.96,96.70
Albania,ALB,-0.47,0.33,4.00,30.43,15.76,57.61,-0.44,0.32,4.00,32.07,16.30,54.89,-0.42,0.31,5.00,33.70,16.30,57.61,-0.31,0.24,6.00,41.62,25.41,57.30,-0.49,0.20,6.00,35.68,21.08,49.73,-0.19,0.20,7.00,47.76,31.84,58.21,-0.40,0.17,8.00,41.18,25.00,51.47,-0.15,0.19,9.00,50.49,36.76,55.39,0.03,0.19,9.00,53.88,45.63,61.65,0.14,0.19,9.00,56.80,50.00,65.05,0.24,0.18,9.00,59.81,51.67,68.42,0.23,0.18,9.00,58.37,52.15,66.99,0.28,0.17,10.00,60.66,52.61,69.19,0.24,0.18,11.00,58.77,51.66,68.25,0.25,0.18,11.00,61.14,51.66,67.77,0.28,0.20,10.00,62.98,50.00,70.67,0.17,0.19,10.00,59.52,48.10,67.14,0.19,0.20,9.00,60.95,48.57,68.10,0.22,0.21,8.00,61.90,48.57,70.95,0.26,0.21,8.00,62.86,49.52,71.90,0.27,0.20,8.00,61.90,49.52,72.38,0.22,0.22,7.00,58.57,45.24,71.90,0.18,0.22,7.00,58.57,46.19,70.48,0.16,0.23,7.00,57.55,43.87,68.87
Netherlands Antilles (former),ANT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.64,0.32,1.00,69.65,57.71,83.08,0.86,0.21,1.00,75.00,64.71,83.82,0.86,0.31,1.00,75.49,61.27,91.18,0.88,0.37,1.00,76.70,59.71,91.26,0.89,0.38,1.00,78.16,58.74,92.72,0.90,0.41,1.00,76.56,58.37,94.26,0.89,0.46,1.00,77.03,54.55,94.74,0.88,0.46,1.00,77.25,55.92,94.79,0.84,0.50,1.00,76.30,52.61,95.26,0.84,0.50,1.00,76.30,53.08,94.79,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,ARE,0.69,0.31,4.00,71.74,61.96,84.24,0.58,0.33,4.00,70.11,52.72,85.33,0.69,0.31,4.00,70.65,59.24,85.87,1.08,0.25,5.00,82.16,69.19,90.81,0.64,0.20,5.00,68.11,62.16,77.30,0.79,0.20,6.00,74.63,65.67,81.09,0.65,0.17,6.00,69.12,61.27,76.47,0.62,0.21,6.00,70.10,58.33,77.94,0.61,0.22,6.00,68.45,58.25,79.13,0.57,0.22,6.00,66.99,57.77,78.16,0.44,0.20,7.00,64.11,55.02,73.68,0.32,0.20,7.00,61.72,52.63,72.73,0.45,0.19,9.00,65.40,55.92,75.36,0.67,0.20,9.00,72.51,62.09,79.15,0.77,0.20,9.00,74.41,65.88,82.46,0.99,0.21,9.00,80.29,71.15,89.42,1.10,0.20,9.00,81.90,74.76,91.43,0.96,0.20,9.00,80.48,70.95,87.14,1.00,0.20,9.00,80.48,74.29,88.57,0.92,0.20,9.00,79.52,71.90,86.19,0.97,0.20,9.00,78.10,73.33,87.62,1.07,0.21,8.00,82.86,73.33,90.95,1.01,0.21,8.00,81.90,71.90,87.62,1.03,0.21,8.00,82.08,73.11,88.21
